City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kangaatsiaq,68.3065,-53.4641,-14.53,98,100,11.61,GL,1644476513
1,rikitea,-23.1203,-134.9692,79.14,74,19,19.37,PF,1644476494
2,mahebourg,-20.4081,57.7,80.58,69,10,7.29,MU,1644476518
3,barrow,71.2906,-156.7887,-16.58,63,100,6.91,US,1644476453
4,perth,-31.9333,115.8333,102.38,23,0,13.8,AU,1644476289
5,saint-philippe,-21.3585,55.7679,83.75,73,14,8.23,RE,1644476526
6,beringovskiy,63.05,179.3167,-24.34,92,19,6.46,RU,1644476529
7,vaini,-21.2,-175.2,80.69,83,34,20.74,TO,1644476531
8,tateyama,34.9833,139.8667,37.42,96,100,24.05,JP,1644476533
9,sterling,39.0062,-77.4286,45.93,59,40,5.75,US,1644476536
10,fairbanks,64.8378,-147.7164,-0.9,79,100,3.44,US,1644476260
11,pauini,-7.7136,-66.9764,71.78,98,100,2.17,BR,1644476540
12,saskylakh,71.9167,114.0833,-0.17,94,100,14.2,RU,1644476542
13,comodoro rivadavia,-45.8667,-67.5,60.66,29,20,23.02,AR,1644476322
14,junction city,39.0286,-96.8314,44.82,52,100,12.66,US,1644476547
15,khatanga,71.9667,102.5,1.22,94,100,16.67,RU,1644476504
16,kismayo,-0.3582,42.5454,82.76,65,45,18.16,SO,1644476551
17,coihaique,-45.5752,-72.0662,38.71,97,25,5.82,CL,1644476554
18,altamira,-3.2033,-52.2064,70.3,99,100,1.1,BR,1644476556
19,biak,-0.9131,122.8766,83.62,68,92,0.76,ID,1644476558
20,punta arenas,-53.15,-70.9167,44.71,70,40,24.16,CL,1644476267
21,kimberley,-28.7323,24.7623,78.49,47,0,1.14,ZA,1644476539
22,korla,41.7597,86.1469,33.62,39,87,2.28,CN,1644476567
23,avarua,-21.2078,-159.775,77.05,94,100,9.22,CK,1644476571
24,carnarvon,-24.8667,113.6333,86.29,55,0,20.13,AU,1644476507
25,zheleznodorozhnyy,55.7503,38.0042,32.22,96,100,8.16,RU,1644476576
26,gat,31.61,34.7642,49.41,100,99,18.88,IL,1644476578
27,hami,42.8,93.45,32.99,35,100,3.69,CN,1644476580
28,puerto baquerizo moreno,-0.9,-89.6,73.4,86,32,8.46,EC,1644476583
29,mataura,-46.1927,168.8643,66.47,65,37,4.52,NZ,1644476585
30,lazo,43.3817,133.9014,33.82,59,87,1.39,RU,1644476527
31,la ronge,55.1001,-105.2842,26.94,97,100,8.08,CA,1644476590
32,sakakah,29.9697,40.2064,53.51,50,0,12.12,SA,1644476592
33,san cristobal,7.7669,-72.225,65.37,84,100,1.41,VE,1644476594
34,port lincoln,-34.7333,135.8667,68.52,58,0,14.99,AU,1644476596
35,dikson,73.5069,80.5464,1.53,94,100,20.38,RU,1644476603
